dataID	context	indices_target_token	indices_target_sentence	lemma
fic_1842_555.txt-2985-38	There, once in a while, was seen the thin, care-worn, melancholy visage of an old tory, with a Wig that, in times long past, had perhaps figured at a Province House ball.	165:169	0:170	ball
mag_2004_413914.txt-69-11	"That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."	46:50	0:108	ball
fic_2006_27868.txt-115-4	As always, the ball exploded off his club face and rode the soft wind to disappear beyond the sloping fairway and run a dozen yards farther, leaving him a short iron to the green.	15:19	0:179	ball
mag_1970_479117.txt-88-13	They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone.	69:73	0:113	ball
mag_1970_479117.txt-164-8	As children, we appreciated especially the unsparing multitudes of other children in the 11.6inerstadt.	53:63	0:103	multitude
mag_1992_396526.txt-82-7	But by now the others, the multitudes, have fallen hard for him.	27:37	0:64	multitude
fic_1994_54030.txt-305-13	To some it sounds like a mob of crows, to others a donkey's bray.	51:57	0:65	donkey
fic_1835_7353.txt-1191-8	The hilly path was ascended by means of donkeys, which we procured at its base.	40:47	0:79	donkey
nf_1842_747950.txt-2078-5	"We came down from the head waters of the St. John as far as Woodstock, and thence by stage and steamboat routes. """	22:26	0:114	head
mag_2005_379099.txt-13-11	Witnesses told of seeing severed limbs and a body with its head blown off.	59:63	0:74	head
fic_1996_54394.txt-2232-9	"He smiled, his teeth white in his dark face. """	39:43	0:46	face
fic_1851_3300.txt-667-30	It was agony to look on the motionless form, and blood-streaked countenance before him -- to watch the cloud of anxiety that seemed to deepen on his master's face as each new restorative failed its accustomed virtue, to listen to the subdued murmurs and fearful whispers, and to note the blanched faces of his school-fellows.	158:162	0:325	face
fic_1960_780071.txt-42-28	In addition to these principal groups, there were subgroups, common to both parties, who were Douglas men, Lincoln men; believers in a flannel rag around the neck for a colic, and scoffers at the remedy; men who had signed the pledge and men who drank a quart of whisky at a sitting; men who were Baptists, Presbyterians, and Holy Rollers; men who knew certain intimate biological facts about Esquimaux women, and men who denied their knowledge.	143:146	0:445	rag
nf_1844_748164.txt-1079-17	In the savage state, and before cotton wrapped mankind, they suffered for clothing, and rags indicated poverty.	88:92	0:111	rag
mag_1977_490786.txt-133-4	And in the third part the offstage orchestra sections had had to be cut, for financial reasons.	17:21	0:95	part
nf_1967_773873.txt-354-11	We can be sure that the psalms played a very important part in the vocal aspect, i.e., the singing, of the Jewish	55:59	0:113	part
nf_1849_749269.txt-626-4	he said again, circling back to his favorite maxim.	15:23	0:51	circle
fic_1992_53574.txt-214-2	"It was circled by a ring of pain, like fire, and the ring was pulsing. """	7:14	0:72	circle
fic_1847_7123.txt-1622-9	The Captain saw that he was running a great risk in standing on, for if he was brought to his vessel might be seized for infringing the blockade; as he knew the Brazilians would advance any pretext for the purpose of getting possession of his vessel and cargo.	44:48	0:260	risk
nf_1852_771569.txt-554-1	The risk of detention in such a region can be understood by all; but few, perhaps, will appreciate the feeling of mingled passion and regret with which the leading vessel in such a mission as we had in hand found herself obliged to wait to close her consort, when all was water ahead, and the chances of it remaining so were but slight.	4:8	0:336	risk
